id,nom,geo_point_2d,secteur,commune,adresse,type_dechet,horaires_ouverture,jours_ouverture,types_materiaux
5230,collecte sélective enterré,"45.23181,5.68173",Nord-Ouest,Saint Egrève,Impasse du Châtelet / aire de retournement en bout d'impasse,collecte sélective,24h,tous les jours,collecte sélective
5227,ordures ménagères résiduelles enterré,"45.23173,5.68182",Nord-Ouest,Saint Egrève,Impasse du Châtelet / aire de retournement en bout d'impasse,ordures ménagères résiduelles,24h,tous les jours,ordures ménagères résiduelles
5228,ordures ménagères résiduelles enterré,"45.23175,5.68179",Nord-Ouest,Saint Egrève,Impasse du Châtelet / aire de retournement en bout d'impasse,ordures ménagères résiduelles,24h,tous les jours,ordures ménagères résiduelles
5223,collecte sélective enterré,"45.23086,5.68211",Nord-Ouest,Saint Egrève,Impasse du Châtelet / côté n°12 / Immeubles Châtelet,collecte sélective,24h,tous les jours,collecte sélective
5226,collecte sélective enterré,"45.2309,5.68234",Nord-Ouest,Saint Egrève,Impasse du Châtelet / côté n°6 / Parking Maison de l'Emploi / MFR,collecte sélective,24h,tous les jours,collecte sélective
5224,ordures ménagères résiduelles enterré,"45.23092,5.68237",Nord-Ouest,Saint Egrève,Impasse du Châtelet / côté n°6 / Parking Maison de l'Emploi / MFR,ordures ménagères résiduelles,24h,tous les jours,ordures ménagères résiduelles
5222,ordures ménagères résiduelles enterré,"45.23087,5.68213",Nord-Ouest,Saint Egrève,Impasse du Châtelet / côté n°12 / Immeubles Châtelet,ordures ménagères résiduelles,24h,tous les jours,ordures ménagères résiduelles
5214,collecte sélective enterré,"45.23789,5.69",Nord-Ouest,Saint Egrève,Place de Pompée / Rue de la Monta,collecte sélective,24h,tous les jours,collecte sélective
5225,ordures ménagères résiduelles enterré,"45.23091,5.68236",Nord-Ouest,Saint Egrève,Impasse du Châtelet / côté n°6 / Parking Maison de l'Emploi / MFR,ordures ménagères résiduelles,24h,tous les jours,ordures ménagères résiduelles
5221,ordures ménagères résiduelles enterré,"45.23088,5.68215",Nord-Ouest,Saint Egrève,Impasse du Châtelet / côté n°12 / Immeubles Châtelet,ordures ménagères résiduelles,24h,tous les jours,ordures ménagères résiduelles
5213,ordures ménagères résiduelles enterré,"45.23786,5.68997",Nord-Ouest,Saint Egrève,Place de Pompée / Rue de la Monta,ordures ménagères résiduelles,24h,tous les jours,ordures ménagères résiduelles
5215,collecte sélective enterré,"45.23791,5.69003",Nord-Ouest,Saint Egrève,Place de Pompée / Rue de la Monta,collecte sélective,24h,tous les jours,collecte sélective
5212,ordures ménagères résiduelles enterré,"45.23783,5.68994",Nord-Ouest,Saint Egrève,Place de Pompée / Rue de la Monta,ordures ménagères résiduelles,24h,tous les jours,ordures ménagères résiduelles
3157,emballages aérien,"45.20704,5.68317",Nord-Ouest,Sassenage,3 bis Rue de Chamechaude,emballages,24h,tous les jours,emballages
5440,collecte sélective enterré,"45.14551,5.70013",Sud,Echirolles,26-28-30 Avenue Danièle Casanova,collecte sélective,24h,tous les jours,collecte sélective
